Number,Total,HDBDwellings_Total,HDBDwellings_1_and2_RoomFlats1,HDBDwellings_3_RoomFlats,HDBDwellings_4_RoomFlats,HDBDwellings_5_RoomandExecutiveFlats,CondominiumsandOtherApartments,LandedProperties,Others
Mackenzie,110,-,-,-,-,-,90,-,10
Mount Emily,1630,-,-,-,-,-,1510,60,50
Rochor Canal,-,-,-,-,-,-,-,-,-
Selegie,210,-,-,-,-,-,180,30,10
Sungei Road,2050,2030,680,960,360,30,-,-,20
Victoria,1760,1620,-,1080,500,40,100,-,40
Seletar - Total,300,-,-,-,-,-,-,280,20
Pulau Punggol Barat,-,-,-,-,-,-,-,-,-
Pulau Punggol Timor,-,-,-,-,-,-,-,-,-
Seletar,280,-,-,-,-,-,-,280,-
Seletar Aerospace Park,20,-,-,-,-,-,-,-,-
Sembawang - Total,102640,87080,6840,4490,36860,38890,10860,3880,820
Admiralty,13920,13910,1100,750,5850,6210,-,-,10
Sembawang Central,34800,30510,1820,640,11880,16160,4100,-,190
Sembawang East,17340,17260,2880,2870,7800,3700,-,80,-
Sembawang North,25540,25400,1040,220,11330,12810,-,-,140
Sembawang Springs,9090,-,-,-,-,-,6740,1920,440
Sembawang Straits,1910,-,-,-,-,-,20,1890,10
Senoko North,10,-,-,-,-,-,-,-,-
Senoko South,30,-,-,-,-,-,-,-,-
The Wharves,-,-,-,-,-,-,-,-,-
Sengkang - Total,249370,215280,8150,11090,99800,96230,31780,1530,790
Anchorvale,48120,42600,2150,1420,16120,22910,5520,-,-
Compassvale,20960,16230,550,370,12710,2600,4700,-,30
Fernvale,58800,47640,3370,6830,26880,10570,9600,1070,490
Lorong Halus North,-,-,-,-,-,-,-,-,-
Rivervale,59700,51390,1650,940,20790,28000,8070,240,-
Sengkang Town Centre,61790,57420,430,1530,23300,32160,3900,220,250
Sengkang West,10,-,-,-,-,-,-,-,-
Serangoon - Total,116900,63890,1520,9850,31510,21010,16310,35760,930
Lorong Chuan,8490,-,-,-,-,-,4210,4190,90
Seletar Hills,14700,-,-,-,-,-,2020,12640,40
Serangoon Central,24760,19340,-,3840,10540,4950,4050,1250,130
Serangoon Garden,36080,19560,1190,4540,9820,4000,1110,14850,560
Serangoon North,15940,15930,-,-,6390,9540,-,-,20
Serangoon North Ind Estate,10,-,-,-,-,-,-,-,-
Upper Paya Lebar,16920,9070,330,1470,4760,2520,4910,2840,100
Simpang - Total,-,-,-,-,-,-,-,-,-
Pulau Seletar,-,-,-,-,-,-,-,-,-
Simpang North,-,-,-,-,-,-,-,-,-
Simpang South,-,-,-,-,-,-,-,-,-
Tanjong Irau,-,-,-,-,-,-,-,-,-
Singapore River - Total,3260,-,-,-,-,-,3110,-,150
Boat Quay,130,-,-,-,-,-,90,-,40
Clarke Quay,130,-,-,-,-,-,50,-,70
Robertson Quay,3010,-,-,-,-,-,2970,-,30
Southern Islands - Total,1940,-,-,-,-,-,1280,640,20
Sentosa,1940,-,-,-,-,-,1280,640,20
Southern Group,-,-,-,-,-,-,-,-,-
Straits View - Total,-,-,-,-,-,-,-,-,-
Straits View,-,-,-,-,-,-,-,-,-
Sungei Kadut - Total,750,-,-,-,-,-,-,670,80
Gali Batu,30,-,-,-,-,-,-,-,-
Kranji,10,-,-,-,-,-,-,-,-
Pang Sua,20,-,-,-,-,-,-,-,-
Reservoir View,20,-,-,-,-,-,-,-,-
Turf Club,670,-,-,-,-,-,-,670,-
Tampines - Total,259900,226370,7040,34340,99780,85220,27770,4480,1270
Simei,39450,23040,-,170,11360,11510,12140,3980,290
Tampines East,130980,125230,4390,23140,50390,47310,5300,-,450
Tampines North,8040,7780,390,1470,3610,2310,-,-,260
Tampines West,79670,70330,2260,9560,34420,24090,9130,-,210
Xilin,1760,-,-,-,-,-,1200,500,60
Tanglin - Total,21810,470,-,30,190,250,16790,4350,190
Chatsworth,6890,-,-,-,-,-,5800,1010,70
Nassim,9520,-,-,-,-,-,7840,1610,70
Ridout,1520,-,-,-,-,-,630,850,40
Tyersall,3880,470,-,30,190,250,2520,880,10
Tengah - Total,10,-,-,-,-,-,-,-,-
Brickland,-,-,-,-,-,-,-,-,-
Forest Hill,10,-,-,-,-,-,-,-,-
Garden,-,-,-,-,-,-,-,-,-
Park,-,-,-,-,-,-,-,-,-
Plantation,-,-,-,-,-,-,-,-,-
Tengah Industrial Estate,-,-,-,-,-,-,-,-,-
Toa Payoh - Total,121850,100230,9600,34990,32040,23600,14580,5660,1370
Bidadari,-,-,-,-,-,-,-,-,-
Boon Teck,14660,14110,4360,4000,2290,3460,270,-,280
Braddell,9810,8460,1370,2710,1810,2580,1300,-,50
Joo Seng,8150,4840,-,1050,2010,1790,1810,1380,120
Kim Keat,7960,7920,290,3160,2500,1970,-,-,40
Lorong 8 Toa Payoh,7160,7080,380,2050,2810,1850,-,-,70
Pei Chun,10360,10280,380,5120,2710,2070,-,-,80
Potong Pasir,11720,9520,-,4730,3720,1080,2020,30,150
Sennett,7190,1680,20,260,1010,380,1340,3990,190
Toa Payoh Central,28020,25640,2250,4670,10850,7870,2190,-,190
Toa Payoh West,14360,10700,550,7250,2330,570,3530,-,130
Woodleigh,2450,-,-,-,-,-,2130,260,60
Tuas - Total,70,-,-,-,-,-,-,-,-
Tengeh,-,-,-,-,-,-,-,-,-
Tuas Bay,10,-,-,-,-,-,-,-,-
Tuas North,30,-,-,-,-,-,-,-,-
Tuas Promenade,10,-,-,-,-,-,-,-,-
Tuas View,10,-,-,-,-,-,-,-,-
Tuas View Extension,10,-,-,-,-,-,-,-,-
Western Islands - Total,10,-,-,-,-,-,-,-,-
Jurong Island And Bukom,10,-,-,-,-,-,-,-,-
Semakau,-,-,-,-,-,-,-,-,-
Sudong,-,-,-,-,-,-,-,-,-
Western Water Catchment - Total,640,-,-,-,-,-,-,-,640
Bahar,-,-,-,-,-,-,-,-,-
Cleantech,-,-,-,-,-,-,-,-,-
Murai,640,-,-,-,-,-,-,-,640
Woodlands - Total,255130,235970,10710,19690,103960,101610,17400,700,1060
Greenwood Park,40,-,-,-,-,-,-,-,-
Midview,35270,35070,1280,980,15440,17380,-,-,200
North Coast,12100,12090,120,4690,5290,1990,-,10,10
Senoko West,20,-,-,-,-,-,-,-,-
Woodgrove,33790,27790,220,1960,12310,13300,5030,700,270
Woodlands East,98980,93790,3030,2140,46830,41790,4950,-,240
Woodlands Regional Centre,10,-,-,-,-,-,-,-,-
Woodlands South,41000,33550,1840,1090,12980,17640,7420,-,30
Woodlands West,33910,33670,4210,8830,11120,9510,-,-,240
Yishun - Total,221610,195300,8910,40200,99740,46450,19670,5710,940
Khatib,10250,10220,220,2080,4100,3820,-,-,30
Lower Seletar,18660,12910,1310,1920,5770,3910,4690,1060,-
Nee Soon,890,-,-,-,-,-,430,440,20
Northland,28000,27920,940,6440,14860,5670,-,-,80
Springleaf,4370,-,-,-,-,-,130,4210,30
Yishun Central,2620,1290,-,-,700,590,1330,-,-
Yishun East,60670,56740,4210,7180,32110,13240,3920,-,10
Yishun South,42240,38990,1000,4560,20100,13330,3010,-,240
Yishun West,53910,47220,1230,18020,22090,5880,6160,-,530
